logical_turn,original_messages,original_total_tokens,kept_messages,kept_messages_tokens,recap_tokens,post_virt_system_tokens,outbound_total_tokens,cold_groups,cold_tokens,raw_inbound_bytes,is_recall_request,upstream_mode
1,1,1407,1,1069,0,338,1407,0,0,6354,False,canned
2,3,2401,3,2063,0,338,2401,0,0,10448,False,canned
3,5,3395,5,3057,0,338,3395,0,0,14517,False,canned
4,7,4389,7,4051,0,338,4389,0,0,18586,False,canned
5,9,5391,9,5053,0,338,5391,0,0,22687,False,canned
6,11,6385,11,6047,0,338,6385,0,0,26756,False,canned
7,13,7379,13,7041,0,338,7379,0,0,30825,False,canned
8,15,8373,15,8035,0,338,8373,0,0,34894,False,canned
9,17,9367,17,9029,0,338,9367,0,0,38963,False,canned
10,19,10361,19,10023,0,338,10361,0,0,43033,False,canned
11,21,11355,21,11017,0,338,11355,0,0,47103,False,canned
12,23,12349,23,12011,0,338,12349,0,0,51173,False,canned
13,25,13343,25,13005,0,338,13343,0,0,55243,False,canned
14,27,14337,27,13999,0,338,14337,0,0,59313,False,canned
15,29,15331,29,14993,0,338,15331,0,0,63383,False,canned
16,31,16325,7,3974,1129,1467,5441,12,12013,67453,False,canned
17,33,17319,7,3974,1218,1556,5530,13,13007,71523,False,canned
18,35,18313,7,3974,1307,1645,5619,14,14001,75593,False,canned
19,37,19307,7,3974,1396,1734,5708,15,14995,79663,False,canned
20,39,20301,7,3974,1485,1823,5797,16,15989,83733,False,canned
21,41,21295,7,3974,1574,1912,5886,17,16983,87803,False,canned
22,43,22289,7,3974,1663,2001,5975,18,17977,91873,False,canned
23,45,23283,7,3974,1752,2090,6064,19,18971,95943,False,canned
24,47,24277,7,3974,1841,2179,6153,20,19965,100013,False,canned
25,49,25271,7,3974,1930,2268,6242,21,20959,104083,False,canned
26,51,26265,7,3974,2019,2357,6331,22,21953,108153,False,canned
27,53,27259,7,3974,2108,2446,6420,23,22947,112223,False,canned
28,55,28253,7,3974,2197,2535,6509,24,23941,116293,False,canned
29,57,29247,7,3974,2286,2624,6598,25,24935,120363,False,canned
30,59,30241,7,3974,2375,2713,6687,26,25929,124433,False,canned
31,61,31235,7,3974,2464,2802,6776,27,26923,128503,False,canned
32,63,32229,7,3974,2553,2891,6865,28,27917,132573,False,canned
33,65,33223,7,3974,2642,2980,6954,29,28911,136643,False,canned
34,67,34217,7,3974,2731,3069,7043,30,29905,140713,False,canned
35,69,35211,7,3974,2820,3158,7132,31,30899,144783,False,canned
36,71,36205,7,3974,2909,3247,7221,32,31893,148853,False,canned
37,73,37200,7,3975,2998,3336,7311,33,32887,152924,False,canned
38,75,38195,7,3976,3087,3425,7401,34,33881,156995,False,canned
39,77,39190,7,3977,3176,3514,7491,35,34875,161066,False,canned
40,79,40185,7,3977,3265,3603,7580,36,35870,165137,False,canned
41,81,41180,7,3977,3354,3693,7670,37,36865,169208,False,canned
42,83,42175,7,3977,3444,3782,7759,38,37860,173279,False,canned
43,85,43170,7,3977,3533,3871,7848,39,38855,177350,False,canned
44,87,44165,7,3977,3622,3960,7937,40,39850,181421,False,canned
45,89,45160,7,3977,3711,4050,8027,41,40845,185492,False,canned
46,91,46155,7,3977,3801,4139,8116,42,41840,189563,False,canned
47,93,47150,7,3977,3890,4228,8205,43,42835,193634,False,canned
48,95,48145,7,3977,3979,4317,8294,44,43830,197705,False,canned
49,97,49140,7,3977,4068,4407,8384,45,44825,201776,False,canned
50,99,50135,7,3977,4158,4496,8473,46,45820,205847,False,canned
51,101,51130,7,3977,4247,4585,8562,47,46815,209918,False,canned
52,103,52125,7,3977,4336,4674,8651,48,47810,213989,False,canned
53,105,53120,7,3977,4425,4764,8741,49,48805,218060,False,canned
54,107,54115,7,3977,4515,4853,8830,50,49800,222131,False,canned
55,109,55110,7,3977,4604,4942,8919,51,50795,226202,False,canned
56,111,56105,7,3977,4693,5031,9008,52,51790,230273,False,canned
57,113,57100,7,3977,4782,5121,9098,53,52785,234344,False,canned
58,115,58095,7,3977,4872,5210,9187,54,53780,238415,False,canned
59,117,59090,7,3977,4961,5299,9276,55,54775,242486,False,canned
60,119,60085,7,3977,5050,5388,9365,56,55770,246557,False,canned
61,121,61080,7,3977,5139,5478,9455,57,56765,250628,False,canned
62,123,62075,7,3977,5229,5567,9544,58,57760,254699,False,canned
63,125,63070,7,3977,5318,5656,9633,59,58755,258770,False,canned
64,127,64065,7,3977,5407,5745,9722,60,59750,262841,False,canned
65,129,65060,7,3977,5496,5835,9812,61,60745,266912,False,canned
66,131,66055,7,3977,5586,5924,9901,62,61740,270983,False,canned
67,133,67050,7,3977,5675,6013,9990,63,62735,275054,False,canned
68,135,68045,7,3977,5764,6102,10079,64,63730,279125,False,canned
69,137,69040,7,3977,5853,6192,10169,65,64725,283196,False,canned
70,139,70035,7,3977,5943,6281,10258,66,65720,287267,False,canned
71,141,71030,7,3977,6032,6370,10347,67,66715,291338,False,canned
72,143,72025,7,3977,6121,6459,10436,68,67710,295409,False,canned
73,145,73020,7,3977,6210,6549,10526,69,68705,299480,False,canned
74,147,74015,7,3977,6300,6638,10615,70,69700,303551,False,canned
