logical_turn,x-cortex-original-messages,x-cortex-kept-messages,x-cortex-original-tokens,x-cortex-outbound-tokens,x-cortex-recap-tokens,x-cortex-cold-groups,x-cortex-virtualized,x-cortex-degraded
1,1,1,994,994,0,0,false,
2,3,3,1582,1582,0,0,false,
3,5,5,2155,2155,0,0,false,
4,7,7,2728,2728,0,0,false,
5,9,9,3472,3472,0,0,false,
6,11,11,4143,4143,0,0,false,
7,13,13,4717,4717,0,0,false,
8,15,15,5291,5291,0,0,false,
9,17,17,5865,5865,0,0,false,
10,19,19,6439,6439,0,0,false,
11,21,21,7013,7013,0,0,false,
12,23,23,7587,7587,0,0,false,
13,25,25,8161,8161,0,0,false,
14,27,27,8735,8735,0,0,false,
15,29,29,9309,9309,0,0,false,
16,31,31,9883,9883,0,0,false,
17,33,33,10457,10457,0,0,false,
18,35,35,11031,11031,0,0,false,
19,37,37,11605,11605,0,0,false,
20,39,39,12179,12179,0,0,false,
21,41,41,12753,12753,0,0,false,
22,43,43,13327,13327,0,0,false,
23,45,45,13901,13901,0,0,false,
24,47,47,14664,14664,0,0,false,
25,49,49,15238,15238,0,0,false,
26,51,51,15812,15812,0,0,false,
27,53,53,16386,16386,0,0,false,
28,55,55,16960,16960,0,0,false,
29,57,7,17534,12197,9557,25,true,
30,59,7,18108,12293,9653,26,true,
31,61,7,18682,12689,10049,27,true,
32,63,7,19256,12294,9654,28,true,
33,65,7,19830,12293,9653,29,true,
34,67,7,20404,12689,10049,30,true,
35,69,7,20978,12689,10049,31,true,
36,71,7,21552,12197,9557,32,true,
37,73,7,22126,12295,9655,33,true,
38,75,7,22700,12691,10051,34,true,
39,77,7,23274,12295,9655,35,true,
40,79,7,23848,12294,9654,36,true,
41,81,7,24422,12690,10050,37,true,
42,83,7,24996,12692,10052,38,true,
43,85,7,25570,12197,9557,39,true,
44,87,7,26144,12295,9655,40,true,
45,89,7,26718,12691,10051,41,true,
46,91,7,27292,12691,10051,42,true,
47,93,7,27866,12295,9655,43,true,
48,95,7,28440,12692,10052,44,true,
49,97,7,29014,12693,10053,45,true,
50,99,7,29588,12199,9559,46,true,
51,101,7,30162,12296,9656,47,true,
52,103,7,30736,12691,10051,48,true,
53,105,7,31310,12692,10052,49,true,
54,107,7,31884,12691,10051,50,true,
55,109,7,32458,12692,10052,51,true,
56,111,7,33032,12692,10052,52,true,
57,113,7,33606,12199,9559,53,true,
58,115,7,34180,12296,9656,54,true,
59,117,7,34754,12691,10051,55,true,
60,119,7,35328,12692,10052,56,true,
61,121,7,35902,12693,10053,57,true,
62,123,7,36476,12693,10053,58,true,
63,125,7,37050,12694,10054,59,true,
64,127,7,37624,12199,9559,60,true,
65,129,7,38198,12296,9656,61,true,
66,131,7,38772,12693,10053,62,true,
67,133,7,39346,12694,10054,63,true,
68,135,7,39920,12694,10054,64,true,
69,137,7,40494,12694,10054,65,true,
70,139,7,41068,12694,10054,66,true,
71,141,7,41642,12694,10054,67,true,
72,143,7,42216,12298,9658,68,true,
73,145,7,42790,12695,10055,69,true,
74,147,7,43364,12695,10055,70,true,
75,149,7,43938,12696,10056,71,true,
76,151,7,44512,12695,10055,72,true,
77,153,7,45086,12697,10057,73,true,
78,155,7,45660,12694,10054,74,true,
79,157,7,46234,12299,9659,75,true,
80,159,7,46808,12695,10055,76,true,
81,161,7,47382,12696,10056,77,true,
82,163,7,47956,12697,10057,78,true,
83,165,7,48530,12696,10056,79,true,
84,167,7,49104,12695,10055,80,true,
85,169,7,49678,12201,9561,81,true,
86,171,7,50252,12299,9659,82,true,
87,173,7,50826,12696,10056,83,true,
88,175,7,51400,12697,10057,84,true,
89,177,7,51974,12698,10058,85,true,
90,179,7,52548,12696,10056,86,true,
91,181,7,53122,12697,10057,87,true,
92,183,7,53696,12697,10057,88,true,
93,185,7,54270,12300,9660,89,true,
94,187,7,54844,12697,10057,90,true,
95,189,7,55418,12698,10058,91,true,
96,191,7,55992,12698,10058,92,true,
97,193,7,56566,12696,10056,93,true,
98,195,7,57140,12698,10058,94,true,
99,197,7,57714,12698,10058,95,true,
100,199,7,58288,12300,9660,96,true,
101,201,7,58862,12697,10057,97,true,
102,203,7,59436,12697,10057,98,true,
103,205,7,60010,12699,10059,99,true,
104,207,7,60584,12696,10056,100,true,
105,209,7,61158,12698,10058,101,true,
106,211,7,61732,12697,10057,102,true,
107,213,7,62306,12300,9660,103,true,
108,215,7,62880,12699,10059,104,true,
109,217,7,63454,12699,10059,105,true,
110,219,7,64028,12700,10060,106,true,
111,221,7,64602,12698,10058,107,true,
112,223,7,65176,12700,10060,108,true,
113,225,7,65750,12698,10058,109,true,
114,227,7,66324,12301,9661,110,true,
115,229,7,66898,12699,10059,111,true,
116,231,7,67472,12699,10059,112,true,
117,233,7,68046,12702,10062,113,true,
118,235,7,68620,12700,10060,114,true,
119,237,7,69194,12700,10060,115,true,
120,239,7,69768,12699,10059,116,true,
121,241,7,70342,12113,9473,117,true,
122,243,7,70916,12699,10059,118,true,
123,245,7,71490,12700,10060,119,true,
124,247,7,72064,12702,10062,120,true,
125,249,7,72638,12700,10060,121,true,
126,251,7,73212,12700,10060,122,true,
127,253,7,73786,12700,10060,123,true,
128,255,7,74360,12699,10059,124,true,
129,257,7,74934,12701,10061,125,true,
130,259,7,75508,12701,10061,126,true,
131,261,7,76082,12702,10062,127,true,
132,263,7,76656,12701,10061,128,true,
133,265,7,77230,12702,10062,129,true,
134,267,7,77804,12702,10062,130,true,
135,269,7,78378,12701,10061,131,true,
136,271,7,78952,12702,10062,132,true,
137,273,7,79526,12702,10062,133,true,
138,275,7,80100,12703,10063,134,true,
139,277,7,80674,12703,10063,135,true,
140,279,7,81248,12702,10062,136,true,
141,281,7,81822,12703,10063,137,true,
142,283,7,82396,12702,10062,138,true,
143,285,7,82970,12703,10063,139,true,
144,287,7,83544,12703,10063,140,true,
145,289,7,84118,12705,10065,141,true,
146,291,7,84692,12702,10062,142,true,
147,293,7,85266,12704,10064,143,true,
148,295,7,85840,12703,10063,144,true,
149,297,7,86414,12704,10064,145,true,
150,299,7,86988,12703,10063,146,true,
151,301,7,87562,12706,10066,147,true,
152,303,7,88136,12706,10066,148,true,
153,305,7,88710,12704,10064,149,true,
154,307,7,89284,12703,10063,150,true,
155,309,7,89858,12705,10065,151,true,
156,311,7,90432,12701,10061,152,true,
157,313,7,91006,12706,10066,153,true,
158,315,7,91580,12702,10062,154,true,
159,317,7,92154,12706,10066,155,true,
160,319,7,92728,12704,10064,156,true,
161,321,7,93302,12707,10067,157,true,
162,323,7,93876,12705,10065,158,true,
163,325,7,94450,12702,10062,159,true,
164,327,7,95024,12705,10065,160,true,
165,329,7,95598,12705,10065,161,true,
166,331,7,96172,12707,10067,162,true,
167,333,7,96746,12707,10067,163,true,
168,335,7,97320,12705,10065,164,true,
169,337,7,97894,12706,10066,165,true,
170,339,7,98468,12706,10066,166,true,
171,341,7,99042,12707,10067,167,true,
172,343,7,99616,12704,10064,168,true,
173,345,7,100190,12707,10067,169,true,
174,347,7,100764,12709,10069,170,true,
175,349,7,101338,12707,10067,171,true,
176,351,7,101912,12707,10067,172,true,
177,353,7,102486,12704,10064,173,true,
178,355,7,103060,12708,10068,174,true,
179,357,7,103634,12708,10068,175,true,
180,359,7,104208,12709,10069,176,true,
